,num,BRAND,SUBCATEGORIES,SUB_DISTRICT,ADDRESS,CONTACT,TIME,Facebook,Instagram,Homepage,Evidence,Evidence_link
648,7ad6e5b8-a835-4588-99dc-7714983c6838,光榮冰室,茶餐廳,荃灣,荃灣兆和街18號地下,/,星期一至日07:00-23:00,深井全記餐廳-877524128952449,,,"武漢肺炎期間暫不招待內地人,旗下所有分店每單捐$5予612基金及星火同盟, 6/10戴口罩免費餐蛋飯,店舖連儂牆",https://www.facebook.com/877524128952449/photos/2565715933466585/?type=3
654,7bd3c0c1-885f-4a95-ae1f-47c06226bd95,韓閣 Korean Loft Cafe,韓國菜,荃灣,荃灣路德圍運通街地下10M號舖,39568101,星期一至日11:30-23:00,koreanloftcafe,korean_loft_cafe,,"5/8, 11/11, 18/11參與罷市",https://www.facebook.com/koreanloftcafe/posts/3327970500578573
705,847660b5-8df2-4eef-84f6-e703141dcce2,螢火蟲小食,小食店,寶琳,寶琳毓雅里9號慧安商場地下A134舖,,,,,,"負責人表態幫忙年輕人及遊行,蘋果訪問",https://hk.appledaily.com/lifestyle/20190803/2N7OOD67AAUTFHFCTLCXLB2IEM/?fbclid=IwAR2ADD6B0oOxR8kdM_9O2C6Py2dh6NiS-uSZmSfV_2ZAAv_VinLBtCVkpNk
751,8e79841e-5f50-4d29-9926-cd230353182c,孖寶車仔麵,車仔麵/小食店,荃灣,荃灣大壩街63號地下4號舖,36196139,星期一至日07:00-23:00,Marble.Cart.Noodles,,,5/8罷市,https://ibb.co/Kw4tRhh
756,90e9615a-7587-4bb3-8a61-05d4413c574f,齊柏林熱狗店Zeppelin Hot Dog,小食店/熱狗,荃灣,荃灣鱟地坊80-84號士林食街B7舖,56267695,星期一至日12:00-22:00,zeppelinhotdog,zeppelinhotdog,,"12/6, 5/8,11/11,9/12,29/1,3/2參與罷市,店舖連儂牆,荃灣店25/8免費派水,11月中提供優惠券轉贈理大手足",https://www.facebook.com/zeppelinhotdog/posts/1307243122772562
770,93d45dde-7739-41cc-bb40-b919d7fef004,留白 Blank Cafe,西式/Cafe/甜品,荃灣,荃灣西樓角路202-216號荃昌中心昌寧商場地下12號舖,/,"星期一全日休息
星期二至日11:30-22:30",留白Blankcafe-793710814157983,blank_cafe,,"12/6, 3/9參與罷市",https://www.facebook.com/793710814157983/photos/1104427206419674/?type=3&theater
789,973cb434-a0a7-4b80-b843-1fc3eaaf4f16,豚道樂,日本菜/拉麵,荃灣,荃灣大河道63號,39569163,"星期一至日12:00-15:30,17:30-22:00",butadouraku,butadouraku.ramen,,"武漢肺炎期間暫不招待內地人,收據印有「光復香港,時代革命」, 捐款予星火, 11/11罷市",https://ibb.co/B34xK8v
822,9ca425b9-71ba-4725-8484-7d4e97bc9572,德發粥品專家,粥粉麵,荃灣,荃灣四陂坊9B號地舖,24988404,星期一至日06:00-00:00,,,,11/11罷市,https://ibb.co/N7PyTgk
831,9e2e5778-e5c9-4be1-99ff-6528451ced92,Burger Land,美國菜/漢堡包,荃灣,荃灣海壩街77號地舖,61906195,星期一至日12:00-23:00,Burger-Land-HK-200765050622796,burgerland_hk,,"12/6, 5/8, 2/9, 1/10罷市",https://www.facebook.com/200765050622796/photos/388681325164500
858,a274f4ab-3a89-48b6-a42e-4b7f749e8def,一豆花&贊和豆品,甜品/小食店,荃灣,荃灣荃興徑2-8號昌泰大厦5A地舖,/,星期一至日 11:00-00:30,zanwoonebeancurd,zan_wo_onebeancurd,,"15/10 FB 表態將一名發表對學生與抗爭者針對性的言論的員工暫停當值, 及表明希望與香港人共同進退, 一同渡過難關",https://www.facebook.com/zanwoonebeancurd/posts/1142774955916136
878,a80e7e23-86f9-4ce7-a31c-f1f900325d23,Antoshimo Cafe & Bakery,日本菜/麵包或蛋糕,荃灣,荃灣青山公路荃灣段398號愉景新城1樓1066號舖,24336681,,AntoshimoHK,antoshimohk,https://www.antoshimo.asia/,"店內放有反送中宣傳, 支持醫護及提供醫護優惠, 沖繩店:免費沖繩豬肉 ""加油香港"" 給所有香港遊客到訪當地分店 ",https://www.facebook.com/AntoshimoHK/photos/4000720356612119/?type=3
892,ab3c3c26-4fb9-4318-860b-1ebbe84dcc06,台茶小食,台式飲品,荃灣,荃灣蕙荃路22-26號綠楊坊1樓F19B號舖,/,星期一至日11:00-22:00,,,,派發「良知」貼紙及杯上寫有「721唔見人」,https://ibb.co/BZ8ZXKb
953,b59637b6-ee55-4cc0-a039-404972418ff0,T² Coffee Fantasy,精品咖啡/茶葉,荃灣,荃灣柴灣角街84-92號順豐工業中心26樓J室,37065629,"星期一至六10:00-19:00，
星期日全日休息",t2coffeefantasy,,,"12/6, 5/8, 11/11罷市, 
Fb 出post支持抗爭",https://www.facebook.com/t2coffeefantasy/posts/1194383704086305
1009,c3b99c03-216f-4dda-93a5-01e917e4ef8a,賞茶,台式飲品,荃灣,荃灣廣場1樓131及131A號舖,31021933,星期一至日11:30-22:00,anicegift,anicegift,https://www.anicegift.net,6/8-9/8為前線人員提供優惠,https://www.facebook.com/anicegift/photos/2661770907189188/?type=3&theater
1017,c536ae3f-5d41-49a1-aa81-584bf27d56da,咖啡灣 Cafe Swan,西式/甜品/Cafe/意粉/漢堡包/麵包或蛋糕,荃灣,荃灣眾安街68號荃灣千色匯II期地下G30-G33號舖,34811883,星期一至日 12:00 - 23:00,cafeswanhk,cafeswan,,"捐錢予星火, IG, 店內有大量文宣",https://ibb.co/2NG7DT9
1049,cb354e5f-f657-4221-8618-2caf0cf7a38a,RETOLD coffee.tea.spirits,西式/精品咖啡/酒吧/Cafe/麵包或蛋糕/酒精飲品/茶類飲品,荃灣,荃灣白田壩街45號南豐紗廠1樓102號舖,57416102,"星期日至四11:00-19:30
星期五及六11:00-21:30
星期一休息",retold102,retold_cts,,"12/6支持遊行,店內有文宣",https://www.facebook.com/retold102/posts/507365370102651
1059,cc9cc805-0381-414b-bede-980d7a50d1e5,拉麵台風 Ramen Taifu,日本菜/拉麵,荃灣,荃灣大河道81號寶成樓地下7號舖,24197717,"星期一至日12:00-16:00,18:00-22:30",ramentaifu,ramentaifu.tsuenwan,,"1/10罷市,ig出post支持抗爭",https://www.instagram.com/p/B3B7fMsAnlw/
1060,cca3d22a-81ff-4c3b-9102-64d995cae621,木衛二鑄茶所,台式飲品,荃灣,荃灣白田壩街45號南豐紗廠The Mills 1樓118號舖,28058108,星期一至日11:00-23:00,EUROPATEAHK,europa.tea.hk,,5/8罷市,https://www.facebook.com/1949394238406901/posts/2652210384791946?s=222407236&sfns=mo
1061,cca9e243-65c2-4509-ab12-8baecba88694,KoKo Coffee Roasters,Cafe,荃灣,白田壩街45號南豐紗廠六廠 G09,2499 7255,星期一至日09:30-19:30,kokoroasters,koko_roasters,https://cocoespresso701.com/?fbclid=IwAR3rSGSS3LWLlgfBJeZWcn_BEq_9MexsIg0j3HH_osKHYmPx_uHlvYF8AuQ,11/11罷市,https://www.facebook.com/kokoroasters/posts/2632678000130815?__xts__[0]=68.ARBY72S_vku1eHvwJ-PXoLCWcIv8q4W4L6Ay2lqlM8oo2DnfkDTM48jweu2fiaa8XI1p8fzabFMFCpvVEx0nPThkRAki5LRYPFGssg0KI_PBl7-VXNuMdPNaJ08U86azs5rLPgxZGtxMwHOZuKAkVDCSy7_dHF_0iahQo7kkN7BuiWhEPeRnJxbNHA4445wALWo2yATtgE12O2tHS5v6aBciDQEfWxoGFzvgjTiNtxmgjFRhKFVQf0fclZz97w33UEPsIZpipIews_L95fa-b1lAsBHhn192gomyGx8YsRCSxwbsTxhTxSJLq6Zey6BMRJscKAYSW3WSjVRdKek2brwQ-qgm1ouuI9xiJWNSpZFCNMjxeExvhFaCBtsCh1xIQGXh7tPCuCMwH16pn3JET96LXcM92HWvWiyWC2ghOtRr90eU1LcaopVorlIuF6_uyxEyWas9Gu3UEAbpYOHooYWLuSNm-HesOthoeOIh2Bp3Mq_khLs&__tn__=-R
1074,cf432425-b82c-4624-abaa-92e251b254f7,蘇媽.蘇媽 Semua Semua,星馬菜,荃灣,荃灣大壩街71號地舖,35911208,星期一至日11:30-22:30,semuasemuaHK,semuasemuahkg,,5/8參與罷市,https://www.facebook.com/semuasemuaHK/photos/870925556619190/?type=3&theater
1084,d17af0eb-37b9-4e03-b3a0-7372924898fe,蝦麵店,星馬菜,荃灣,荃灣楊屋道1號荃新天地一期1樓108及110號舖,27846011,,prawnnoodleshop,,,"捐款予星火同盟, 5/8, 1/10參與罷市, 單據列出反送中字句",https://www.facebook.com/prawnnoodleshop/posts/2577640172303206:0
1089,d2490637-d3e2-4d86-98e5-e50e5b48ab1b,Return Coffee 362,西式/精品咖啡/咖啡零售/Cafe,荃灣,荃灣沙咀道362號全發商業大廈地舖,63096362,"星期一至六08:00-19:00
星期日及公眾假期09:00-19:00",returncoffee362,returncoffee,https://return-coffee.com/,"免費遍地開花茶包, 5/8, 2/9, 3/9罷市, 25/8遊行免費冰水",https://www.facebook.com/returncoffee362/photos/2634223869973633/?type=3
1116,d72093e6-298e-4bac-bd9e-41b7c9d5c7c3,龍門冰室,茶餐廳,荃灣,荃灣路德圍8號地下,24134768,星期一至日07:00–01:00,LungMunCafe,,,"提供免費學生餐,良心老闆對抗藍絲片段曝光後被破壞",https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2FLungMunCafe%2Fposts%2F2701471496584317&
1123,d8565cf2-6680-4424-b3bd-17ce9096f911,Twelve Cupcakes ,麵包或蛋糕/糕餅烘焙,荃灣,"荃灣青山公路398號愉景新城購物商場1033, 1034a-b & 1069號舖Donut Village Kiosk 5",68588454,星期一至日11:30-20:30,TwelveCupcakesHongkong,twelvecupcakeshk,http://www.twelvecupcakes.com.hk/en/aboutus.htm,"自7月3日開始於Facebook page寫「香港人加油」字眼,1月1日寫上「 願榮光歸香港」",https://www.facebook.com/TwelveCupcakesHongkong/photos/1276214045912203/?type=3&theater
1129,d9d4a028-9679-4958-8934-d5e4dcae8a41,Chroma,糕餅烘焙/甜品/麵包或蛋糕,荃灣,荃灣沙咀道26-38號匯力工業中心1517室,96141183,"星期一至五10:30-19:30
星期六10:30-14:30
星期日休息",chromahk,chroma_hk,,"參與「黃色商界聯署」,訂單有《闇》或《榮》字收益50%捐星火
發帖文支持示威者",https://ibb.co/1LxmyNt
1151,de0b7388-9d1f-4429-8504-9f34a6949815,王子廚房,西式,荃灣,荃灣享成街8號香城大廈地下5A號舖,34801048,"星期一至四12:00-15:30,18:00-20:00
星期五及六12:00-15:30,18:00-21:00
星期日全日休息",princekitchen34801048,,,5/8參與罷市,https://www.facebook.com/princekitchen34801048/photos/1383023368516581/?type=3&theater
1177,e5520f6f-f47a-4303-bf46-61da219bbc2c,天恩健康素食,素食/茶餐廳,荃灣,荃灣西樓角路荃昌中心昌安商場1樓45&62號,24996381,"星期一至六11:30-21:00
星期日全日休息",,,,5/8參與罷市,https://www.facebook.com/tsuenwandp/photos/2119132031721373/?type=3
1231,ef9e5465-a9b5-4388-ac94-2412afe694f1,德發龍粥麵店,粥粉麵,荃灣,荃灣四陂坊11號地舖,24087368,星期一至日06:00-00:00,,,,11/11罷市,https://ibb.co/N7PyTgk
1289,f8668396-da0e-4826-8ece-c67c2ae79829,No Boundary,西式/Cafe/漢堡包/All day Breakfast/果汁,荃灣,荃灣大壩街9號地下,22056668,星期一至五12:00-22:00,no.boundary.tsuenwan,no.boundary.tsuenwan,,"9/6, 16/6, 2/10, 20/10罷市, 店內有大量文宣, 口罩只派香港人",https://www.instagram.com/p/BycwY0RBqkm/?utm_source=ig_web_copy_link
1296,f9f86a16-59cb-4c54-96a5-73f19f0a8825,娘惹嫁到 Nyonya Coming,星馬菜,荃灣,荃灣怡樂街1-5號海濱花園第22座海裕閣地下108號舖,55430417,"星期日至四18:00-21:00
星期五及六12:00-15:00,18:00-21:00
星期三休息",NyonyaComing,,,"12/6, 5/8罷市",https://www.facebook.com/NyonyaComing/photos/2319081858350694/?type=3
